pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,6647,7888,13.032773,15.466002,2435.189,0.006,123.702,7588,14.877792,2.059531,7582,7594,25.489,7584,7591,15.686,7586,7589,7.843
2,8597,9523,16.856138,18.671746,1817.569,0.007,85.552,9126,17.893348,1.352779,9120,9133,27.450,9123,9130,15.686,9125,9127,5.882
3,10569,11450,20.722638,22.450015,1729.337,0.006,254.994,10664,20.908905,6.987588,10657,10675,37.253,10660,10673,27.450,10662,10670,17.646
4,13092,14175,25.669484,27.792922,2125.399,0.006,254.994,13746,26.951782,6.582999,13739,13756,35.293,13742,13754,25.489,13744,13751,15.686
5,14538,15619,28.504657,30.624173,2121.477,0.006,254.994,15286,29.971260,10.000135,15279,15303,49.017,15282,15301,39.214,15284,15299,31.371
6,16737,17015,32.816236,33.361311,547.035,0.006,254.994,16830,32.998581,11.318072,16824,16850,52.939,16826,16848,45.096,16829,16846,35.293
7,18352,19036,35.982766,37.323885,1343.080,0.007,254.993,18374,36.025902,9.905564,18368,18391,47.057,18370,18389,39.214,18373,18387,29.410
8,19807,20267,38.835585,39.737507,903.883,0.007,254.993,19917,39.051262,13.327760,19911,19941,60.782,19913,19939,52.939,19915,19937,45.096
9,21375,21507,41.909962,42.168775,260.773,0.006,254.994,21465,42.086425,13.756628,21459,21490,62.742,21461,21488,54.900,21464,21486,45.096
10,23003,23249,45.101982,45.584314,484.293,0.006,254.994,23014,45.123550,14.546271,23007,23040,66.664,23010,23038,56.860,23012,23036,49.017
11,24519,24596,48.074403,48.225377,152.935,0.005,254.995,24563,48.160674,15.606692,24557,24592,70.585,24560,24590,60.782,24562,24588,52.939
12,25814,26795,50.613510,52.536957,1925.407,0.006,254.994,26113,51.199759,16.200056,26107,26143,72.546,26109,26141,64.703,26112,26139,54.900
13,27438,27810,53.797687,54.527067,731.341,0.006,254.994,27662,54.236883,15.969182,27656,27692,72.546,27659,27690,62.742,27661,27688,54.900
14,28846,29814,56.558352,58.456310,1899.918,0.007,254.993,29214,57.279890,19.762346,29208,29250,84.310,29210,29248,76.467,29213,29246,66.664
15,30476,30856,59.754293,60.499359,747.027,0.006,254.994,30770,60.330739,26.475622,30763,30845,162.738,30766,30841,149.013,30768,30808,80.389
16,31760,32990,62.271832,64.683493,2413.622,0.006,254.994,32328,63.385510,35.011512,32322,32416,186.267,32325,32413,174.502,32327,32410,164.699
17,33033,34550,64.767803,67.742185,2976.343,0.006,254.994,33893,66.454005,36.309072,33886,33982,190.188,33889,33979,178.424,33891,33976,168.620
18,35374,35578,69.357802,69.757785,401.943,0.005,254.995,35459,69.524461,34.405143,35453,35545,182.345,35456,35542,170.581,35458,35539,160.777
19,36905,37316,72.359634,73.165481,807.808,0.006,254.994,37031,72.606682,40.640360,37025,37129,205.874,37028,37127,196.070,37030,37124,186.267
20,38564,38912,75.612435,76.294758,684.284,0.007,254.993,38612,75.706548,51.485021,38605,38732,250.970,38608,38729,239.205,38610,38726,229.402
