pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,3577,3580,7.041324,7.047230,4,7.874
2,4607,4619,9.068879,9.092501,13,25.590
3,5642,5675,11.106277,11.171238,34,66.929
4,6687,6733,13.163359,13.253910,47,92.519
5,7744,7834,15.244064,15.421229,91,179.133
6,8815,8896,17.352327,17.511776,82,161.417
7,9911,10053,19.509804,19.789330,143,281.495
8,11032,11201,21.716492,22.049169,170,334.645
9,12179,12353,23.974361,24.316880,175,344.487
10,13334,13512,26.247979,26.598372,179,352.361
11,14491,14672,28.525533,28.881832,182,358.267
12,15653,15841,30.812930,31.183008,189,372.046
13,16821,17009,33.112139,33.482216,189,372.046
14,17987,18179,35.407409,35.785362,193,379.921
15,19091,19276,37.580633,37.944806,186,366.141
16,20256,20551,39.873936,40.454643,296,582.676
17,21530,21953,42.381805,43.214481,424,834.644
18,22934,23477,45.145579,46.214474,544,1070.864
19,24457,25260,48.143604,49.724310,804,1582.674
20,26239,27298,51.651471,53.736113,1060,2086.610
21,28277,29588,55.663274,58.243978,1312,2582.672
22,30568,32133,60.173108,63.253810,1566,3082.671
23,33114,35188,65.184909,69.267578,2075,4084.637
