pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,3922,3932,8.600554,8.622483,11,24.122
2,4843,4868,10.620215,10.675037,26,57.015
3,5774,5813,12.661805,12.747328,40,87.716
4,5838,5843,12.802150,12.813115,6,13.157
5,6716,6763,14.727516,14.830583,48,105.259
6,6788,6793,14.885405,14.896370,6,13.157
7,7669,7740,16.817350,16.973046,72,157.889
8,7765,7768,17.027869,17.034447,4,8.772
9,8646,8739,18.959813,19.163753,94,206.133
10,8764,8768,19.218576,19.227347,5,10.965
11,9645,9760,21.150521,21.402704,116,254.376
12,9784,9789,21.455334,21.466298,6,13.157
13,10664,10786,23.385086,23.652619,123,269.727
14,10810,10815,23.705249,23.716214,6,13.157
15,11691,11816,25.637194,25.911306,126,276.305
16,11840,11845,25.963936,25.974901,6,13.157
17,12721,12851,27.895881,28.180958,131,287.270
18,12875,12880,28.233588,28.244552,6,13.157
19,13757,13890,30.167725,30.459381,134,293.849
20,13914,13918,30.512011,30.520782,5,10.965
21,14796,14931,32.446148,32.742190,136,298.234
22,14955,14958,32.794820,32.801398,4,8.772
23,15837,15974,34.728957,35.029385,138,302.620
24,15998,16004,35.082014,35.095172,7,15.350
25,16880,17024,37.016152,37.331930,145,317.971
26,17049,17053,37.386752,37.395524,5,10.965
27,17927,18157,39.312118,39.816485,231,506.560
28,18180,18186,39.866922,39.880079,7,15.350
29,19063,19405,41.803253,42.553224,343,752.165
30,19429,19434,42.605854,42.616819,6,13.157
31,20311,20765,44.539992,45.535569,455,997.769
32,20789,20794,45.588198,45.599163,6,13.157
33,21669,22352,47.517950,49.015701,684,1499.944
34,22376,22380,49.068330,49.077102,5,10.965
35,23257,24164,51.000275,52.989236,908,1991.153
36,24188,24192,53.041865,53.050637,5,10.965
37,25068,26202,54.971617,57.458366,1135,2488.941
38,26226,26230,57.510995,57.519767,5,10.965
39,27107,28469,59.442940,62.429670,1363,2988.923
40,28493,28497,62.482300,62.491071,5,10.965
41,29372,31184,64.409859,68.383394,1813,3975.728
42,31208,31213,68.436023,68.446988,6,13.157
