pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,5016,5024,11.024165,11.041747,9,19.780
2,5933,5962,13.039547,13.103284,30,65.934
3,6875,6913,15.109875,15.193391,39,85.714
4,7828,7889,17.204378,17.338444,62,136.264
5,8806,8889,19.353827,19.536244,84,184.615
6,9804,9908,21.547231,21.775802,105,230.769
7,10825,10933,23.791185,24.028547,109,239.560
8,11850,11964,26.043930,26.294479,115,252.747
9,12879,12997,28.305466,28.564807,119,261.538
10,13912,14035,30.575794,30.846123,124,272.527
11,14951,15073,32.859308,33.127439,123,270.329
12,15990,16118,35.142822,35.424140,129,283.516
13,17033,17165,37.435127,37.725237,133,292.307
14,18081,18300,39.738422,40.219740,220,483.516
15,19216,19548,42.232925,42.962594,333,731.867
16,20463,20908,44.973581,45.951602,446,980.219
17,21823,22495,47.962589,49.439511,673,1479.119
18,23410,24308,51.450498,53.424122,899,1975.822
19,25222,26346,55.432912,57.903239,1125,2472.525
20,27260,28608,59.912028,62.874662,1349,2964.832
21,29523,31326,64.885649,68.848283,1804,3964.831
