pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,5944,5953,13.063723,13.083503,10,21.978
2,6885,6906,15.131853,15.178007,22,48.352
3,7838,7882,17.226356,17.323060,45,98.901
4,8816,8881,19.375805,19.518662,66,145.055
5,9814,9900,21.569209,21.758220,87,191.209
6,10835,10926,23.813163,24.013163,92,202.198
7,11860,11956,26.065908,26.276897,97,213.187
8,12889,12990,28.327444,28.549422,102,224.176
9,13922,14027,30.597772,30.828541,106,232.967
10,14961,15066,32.881286,33.112055,106,232.967
11,16000,16110,35.164800,35.406558,111,243.956
12,17043,17157,37.457105,37.707655,115,252.747
13,18091,18292,39.760400,40.202158,202,443.956
14,19226,19540,42.254903,42.945012,315,692.307
15,20473,20901,44.995559,45.936218,429,942.856
16,21833,22487,47.984567,49.421929,655,1439.559
17,23420,24300,51.472476,53.406540,881,1936.262
18,25232,26338,55.454890,57.885656,1107,2432.965
19,27270,28601,59.934006,62.859278,1332,2927.470
20,29534,31318,64.909825,68.830700,1785,3923.073
