pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,5281,5295,11.555356,11.585990,15,32.822
2,6213,6242,13.594665,13.658120,30,65.643
3,7155,7193,15.655855,15.739003,39,85.336
4,8109,8168,17.743303,17.872401,60,131.286
5,9084,9166,19.876700,20.056125,83,181.612
6,10082,10185,22.060424,22.285799,104,227.562
7,11102,11211,24.292286,24.530789,110,240.691
8,12127,12242,26.535089,26.786720,116,253.820
9,13157,13276,28.788832,29.049216,120,262.572
10,14192,14314,31.053515,31.320463,123,269.136
11,15230,15354,33.324763,33.596087,125,273.512
12,16269,16397,35.598199,35.878276,129,282.265
13,17312,17443,37.880387,38.167028,132,288.829
14,18358,18577,40.169140,40.648334,220,481.382
15,19493,19825,42.652633,43.379083,333,728.637
16,20742,21186,45.385570,46.357087,445,973.705
17,22102,22774,48.361386,49.831789,673,1472.591
18,23661,24556,51.772634,53.730984,896,1960.538
19,25470,26594,55.730907,58.190331,1125,2461.613
20,27510,28859,60.194631,63.146378,1350,2953.935
21,29775,31578,65.150678,69.095822,1804,3947.332
