pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,5094,5100,11.195593,11.208780,7,15.385
2,6023,6051,13.237349,13.298888,29,63.736
3,6964,7000,15.305479,15.384600,37,81.319
4,7915,7974,17.395587,17.525257,60,131.868
5,8890,8972,19.538442,19.718662,83,182.417
6,9887,9991,21.729649,21.958220,105,230.769
7,10906,11015,23.969207,24.208767,110,241.758
8,11929,12044,26.217556,26.470303,116,254.945
9,12959,13078,28.481290,28.742828,120,263.736
10,13995,14115,30.758211,31.021947,121,265.934
11,15031,15155,33.035132,33.307659,125,274.725
12,16071,16200,35.320844,35.604360,130,285.714
13,17115,17247,37.615347,37.905457,133,292.307
14,18163,18382,39.918641,40.399960,220,483.516
15,19297,19629,42.410947,43.140616,333,731.867
16,20544,20988,45.151603,46.127426,445,978.021
17,21903,22574,48.138413,49.613137,672,1476.922
18,23489,24386,51.624124,53.595551,898,1973.624
19,25300,26422,55.604340,58.070272,1123,2468.129
20,27336,28687,60.079061,63.048289,1352,2971.426
21,29603,31406,65.061473,69.024107,1804,3964.831
