pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,3548,3553,7.763379,7.774319,6,13.129
2,4469,4495,9.778619,9.835510,27,59.079
3,5399,5437,11.813552,11.896700,39,85.336
4,5462,5469,11.951402,11.966719,8,17.505
5,6342,6389,13.876930,13.979771,48,105.029
6,6415,6419,14.036662,14.045414,5,10.941
7,7295,7364,15.962190,16.113168,70,153.167
8,7390,7393,16.170059,16.176623,4,8.752
9,8272,8363,18.099963,18.299080,92,201.305
10,9271,9384,20.285875,20.533130,114,249.443
11,9410,9413,20.590021,20.596585,4,8.752
12,10292,10409,22.519925,22.775933,118,258.196
13,10435,10438,22.832823,22.839388,4,8.752
14,11266,11389,24.651135,24.920271,124,271.324
15,11414,11418,24.974973,24.983726,5,10.941
16,12295,12424,26.902690,27.184954,130,284.453
17,12450,12453,27.241845,27.248409,4,8.752
18,13332,13463,29.171749,29.458390,132,288.829
19,14369,14502,31.440809,31.731826,134,293.205
20,14528,14531,31.788717,31.795281,4,8.752
21,15410,15547,33.718621,34.018391,138,301.958
22,16453,16594,36.000809,36.309331,142,310.710
23,16620,16623,36.366222,36.372786,4,8.752
24,17499,17726,38.289562,38.786261,228,498.887
25,18631,18972,40.766491,41.512633,342,748.330
26,18998,19002,41.569524,41.578276,5,10.941
27,19880,20335,43.499428,44.495013,456,997.774
28,21242,21922,46.479620,47.967528,681,1490.096
29,21948,21952,48.024419,48.033171,5,10.941
30,22828,23733,49.949947,51.930177,906,1982.419
31,23759,23763,51.987068,51.995820,5,10.941
32,24641,25773,53.916972,56.393901,1133,2479.117
33,25798,25802,56.448604,56.457356,5,10.941
34,26678,28036,58.374132,61.345572,1359,2973.628
35,28942,30724,63.327990,67.227184,1783,3901.382
36,30750,30753,67.284075,67.290639,4,8.752
