pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,1898,1905,16.649066,16.710470,8,70.175
2,2136,2148,18.736778,18.842041,13,114.035
3,2379,2397,20.868350,21.026244,19,166.666
4,2628,2651,23.052553,23.254307,24,210.526
5,2882,2911,25.280616,25.535001,30,263.157
6,3142,3193,27.561310,28.008677,52,456.139
7,3424,3504,30.034986,30.736738,81,710.524
8,3735,3843,32.763047,33.710412,109,956.137
9,4074,4238,35.736721,37.175312,165,1447.364
10,4461,4682,39.131446,41.070036,222,1947.362
11,4913,5188,43.096345,45.508617,276,2421.044
12,5420,5753,47.543698,50.464741,334,2929.815
