pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,2370,2381,5.243151,5.267486,12,26.548
2,3299,3317,7.298378,7.338199,19,42.034
3,4232,4258,9.362454,9.419973,27,59.732
4,5170,5199,11.437591,11.501748,30,66.369
5,6117,6161,13.532639,13.629980,45,99.553
6,7063,7118,15.625475,15.747151,56,123.889
7,8033,8109,17.771406,17.939541,77,170.347
8,9024,9124,19.963795,20.185025,101,223.442
9,10041,10162,22.213704,22.481393,122,269.901
10,11078,11205,24.507859,24.788822,128,283.174
11,12120,12251,26.813076,27.102887,132,292.024
12,13167,13303,29.129354,29.430227,137,303.085
13,14218,14357,31.454481,31.761991,140,309.722
14,15273,15413,33.788458,34.098180,141,311.934
15,16329,16473,36.124647,36.443218,145,320.784
16,17390,17538,38.471897,38.799317,149,329.633
17,18453,18689,40.823572,41.345675,237,524.315
18,19604,19951,43.369929,44.137597,348,769.880
19,20867,21328,46.164064,47.183934,462,1022.083
20,22245,22931,49.212613,50.730251,687,1519.850
21,23847,24758,52.756718,54.772123,912,2017.618
22,25674,26809,56.798590,59.309551,1136,2513.173
23,27724,29087,61.333805,64.349170,1364,3017.577
24,30003,31818,66.375637,70.390961,1816,4017.537
